,Acrolect,Creole_word,Creole_name
572,supplication," siplikasyon, tanprisouplé ",Martinique
573,supplice, siplis ,Martinique
574,supplier," sipliyé, mandé tanprisouplé",Martinique
575,tambour, tanbou ,Martinique
576,tambourinaire, tanbouyé ,Martinique
577,tazard, taza ,Martinique
578,téléphone, téléfôn ,Martinique
579,téléphoner, téléfônen ,Martinique
580,tenir tête, tèsté ,Martinique
581,testicule, grenn ,Martinique
582,théâtre, téyat ,Martinique
583,timbre, tenm ,Martinique
584,timid, timide ,Martinique
585,timidité, timidité ,Martinique
586,tort, tô ,Martinique
587,touiller, lélé ,Martinique
588,tranquille, trantjil ,Martinique
589,tranquillité, trantjilité ,Martinique
590,transformateur, transfômatè ,Martinique
591,transformation,"  transfômasyon, mofwaz ",Martinique
592,transformer," transfômé, mofwazé ",Martinique
593,transport, transpô ,Martinique
594,triste, tris ,Martinique
595,tristesse," tristès, latristès ",Martinique
596,trou," tou, twou ",Martinique
597,trouble, twoub ,Martinique
598,troubler, twoublé ,Martinique
599,tuer, tjwé ,Martinique
600,tuf, tif ,Martinique
601,urine, pisa ,Martinique
602,uriner," pisé, fè pipi ",Martinique
603,usine, lizin ,Martinique
604,usinier, izinyé,Martinique
605,verre de rhum," ponch, pétépyé, sèk, tisèk, foliba, maténonm ",Martinique
606,véritable, véritab ,Martinique
607,versatile, palayi-palaya ,Martinique
608,vie, lavi ,Martinique
609,vice, vis ,Martinique
610,vicieux," visyé, mako ",Martinique
611,vis, vis ,Martinique
612,voiture, loto ,Martinique
613,voler, vôlè ,Martinique
614,vorace," agoulou, agoulou-gran-fal, saf ",Martinique
615,voracité, agouloutri ,Martinique
616,vouloir, lé ,Martinique
617,voyou, vakabon ,Martinique
618,vrai, vré,Martinique
619,barbe, bab ,Martinique
620,cache-cache, zwèlséré ,Martinique
621,dangereux, danjéré ,Martinique
622,ébrécher, bréché ,Martinique
623,fard, fa ,Martinique
624,gai, djé ,Martinique
625,hameçon, zen ,Martinique
626,incube, dôwlis ,Martinique
627,jaloux, jalou ,Martinique
628,kaki, kaki ,Martinique
629,lâche," kapon, lach ",Martinique
630,maigre, mèg ,Martinique
631,nain, mamoukatji ,Martinique
632,obéïr, obéyi ,Martinique
633,palmiste, palmis ,Martinique
634,quart, ka ,Martinique
635,raccourci, chimen-dékoupé ,Martinique
636,saler, salé ,Martinique
637,tacot, bradjak ,Martinique
638,un , yonn ,Martinique
639,varech, wawèt ,Martinique
